Age,Male,Female,Total
KWALE,,,
51,"3,159","3,161","6,320"
52,"2,249","2,062","4,311"
53,"1,784","1,599","3,383"
54,"2,270","1,947","4,217"
50-54,"13,143","13,176","26,319"
55,"3,017","2,751","5,768"
56,"3,438","3,575","7,013"
57,"3,775","5,120","8,895"
58,"2,559","3,045","5,604"
59,"3,621","4,571","8,192"
55-59,"16,410","19,062","35,472"
60,"3,598","4,910","8,508"
61,"3,195","3,618","6,813"
62,"2,234","2,508","4,742"
63,"2,383","2,658","5,041"
64,"1,701","1,950","3,651"
60-64,"13,111","15,644","28,755"
65,"2,519","3,307","5,826"
66,"1,458","1,525","2,983"
67,"2,289","2,590","4,879"
68,984,"1,307","2,291"
69,"1,834","2,418","4,252"
65-69,"9,084","11,147","20,231"
70,"1,911","3,214","5,125"
71,"1,594","1,617","3,211"
72,"1,179","1,099","2,278"
73,939,915,"1,854"
74,975,"1,298","2,273"
70-74,"6,598","8,143","14,741"
75,811,"1,130","1,941"
76,530,594,"1,124"
77,824,853,"1,677"
78,450,451,901
79,639,"1,208","1,847"
75-79,"3,254","4,236","7,490"
80,709,"1,332","2,041"
81,467,680,"1,147"
